TransactionID,CardID,TransactionDateTime,Location,Amount,Merchant,IsFraud
1,10115,2025-07-15 23:42:00,Nashik,33294.06,Dominos,0
2,10430,2025-07-23 22:54:00,Kamarhati,18073.92,BigBazaar,0
3,10210,2025-07-16 19:16:00,Tirunelveli,35464.11,BigBazaar,0
4,10190,2025-07-08 23:53:00,Faridabad,12917.98,Uber,0
5,10496,2025-07-15 00:56:00,Pondicherry,42151.98,Zomato,0
6,10361,2025-07-18 01:43:00,Morena,29902.64,Flipkart,0
7,10074,2025-07-11 09:06:00,Unnao,39316.93,LuxuryStore,0
8,10141,2025-07-04 23:30:00,Deoghar,16789.52,Amazon,0
9,10291,2025-07-08 12:49:00,Hosur,46779.57,Swiggy,0
10,10115,2025-07-18 22:34:00,Secunderabad,45608.81,Flipkart,0
11,10244,2025-07-16 05:48:00,Noida,28422.17,Amazon,0
12,10468,2025-07-19 14:54:00,Pune,2290.74,Zomato,0
13,10480,2025-07-05 07:59:00,Ballia,37831.02,Zomato,0
14,10288,2025-07-19 08:12:00,Indore,40203.65,Amazon,0
15,10349,2025-07-10 21:46:00,Bhusawal,18648.56,LuxuryStore,0
16,10258,2025-07-14 13:50:00,Guwahati,30237.94,LuxuryStore,0
17,10368,2025-07-15 22:18:00,Udupi,47802.06,BigBazaar,0
18,10088,2025-07-06 14:32:00,Gorakhpur,49195.44,LuxuryStore,0
19,10251,2025-07-05 17:24:00,Tiruvottiyur,47938.32,BigBazaar,0
20,10210,2025-07-07 04:32:00,Bhilai,31560.25,Dominos,0
21,10315,2025-07-16 02:07:00,Ambattur,3861.3,Dominos,0
22,10158,2025-07-17 07:54:00,Gudivada,29784.81,Swiggy,0
23,10284,2025-07-12 13:57:00,Karawal Nagar,30252.49,Uber,0
24,10472,2025-07-12 16:27:00,Bareilly,34057.55,Uber,0
25,10044,2025-07-01 14:18:00,Pali,896.58,Flipkart,0
26,10272,2025-07-22 23:31:00,Hyderabad,48357.51,BigBazaar,0
27,10439,2025-07-03 04:07:00,Secunderabad,46168.53,Netflix,0
28,10247,2025-07-24 05:10:00,Dhule,48506.4,Netflix,1
29,10286,2025-07-30 18:58:00,Visakhapatnam,42549.98,Dominos,0
30,10178,2025-07-15 10:10:00,Imphal,35980.17,Netflix,0
31,10014,2025-07-15 21:50:00,Hosur,493.33,LuxuryStore,0
32,10438,2025-07-25 11:06:00,Tiruchirappalli,46729.3,Netflix,0
33,10215,2025-07-25 11:16:00,Bhagalpur,10894.09,BigBazaar,0
