Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Quality
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹7,499","₹11,499",34% off,4.1,"19,634 Ratings & 1,740 Reviews"
Reliance ,5 kg,,1350 RPM,,,"₹5,499","₹8,999",38% off,4.1,84 Ratings & 7 Reviews
realme ,5 kg,Top Load,1400 RPM,Semi Automatic,,"₹8,490","₹13,990",39% off,4.2,"76,352 Ratings & 7,073 Reviews"
IFB ,7 kg,Front Load,1000 rpm,Automatic,,"₹24,990","₹32,490",23% off,4.3,"86,882 Ratings & 8,633 Reviews"
Haier ,5 kg,,800 rpm,,10 Years Warranty,"₹12,790","₹22,000",41% off,4.3,"32,559 Ratings & 2,811 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,8 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹9,990","₹18,990",47% off,4.3,"14,645 Ratings & 1,044 Reviews"
Haier ,8 kg,,800 rpm,,10 Years Warranty,"₹16,990","₹30,000",43% off,4.3,"32,559 Ratings & 2,811 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,5 kg,Top Load,720 rpm,Automatic,10 Years Warranty,"₹13,290","₹17,900",25% off,4.2,"6,150 Ratings & 450 Reviews"
IFB ,7 kg,,720 RPM,,10 Years Warranty,"₹17,990","₹24,190",25% off,4.3,"21,400 Ratings & 1,729 Reviews"
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
ONIDA ,6 kg,Top Load,750 rpm,Automatic,5 Years Warranty,"₹11,490","₹19,990",42% off,4.2,"41,160 Ratings & 4,628 Reviews"
Haier ,8 kg,,800 RPM,,2 Years Warranty,"₹17,490","₹35,000",50% off,4.3,"32,559 Ratings & 2,811 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
SAMSUNG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹10,990","₹14,150",22% off,4.4,"39,769 Ratings & 2,761 Reviews"
IFB ,9 kg,,1400 RPM,Automatic,10 Years Warranty,"₹37,990","₹49,090",22% off,4.3,"86,882 Ratings & 8,633 Reviews"
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,5 kg,Top Load,1300 rpm,Semi Automatic,2 Years Warranty,"₹7,690","₹18,490",58% off,4.1,518 Ratings & 33 Reviews
