Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Total_ratings,Total_reviews
REALME ,7,Top Load,1400,Semi Automatic,7,7990,12490,36,4.2,76352,7073
VOLTAS ,5,Top Load,1350,Semi Automatic,1,7790,12500,37,4.3,14645,1044
THOMSON ,5,Top Load,1400,Semi Automatic,5,7499,11499,34,4.1,19634,1740
RELIANCE ,5,Top Load,1350,Automatic,7,5499,8999,38,4.1,84,7
REALME ,5,Top Load,1400,Semi Automatic,7,8490,13990,39,4.2,76352,7073
IFB ,7,Front Load,1000,Automatic,7,24990,32490,23,4.3,86882,8633
HAIER ,5,Top Load,800,Automatic,10,12790,22000,41,4.3,32559,2811
VOLTAS ,9,Top Load,1350,Semi Automatic,5,12190,23490,48,4.3,14645,1044
VOLTAS ,8,Top Load,1350,Semi Automatic,1,9990,18990,47,4.3,14645,1044
HAIER ,8,Top Load,800,Automatic,10,16990,30000,43,4.3,32559,2811
LG ,7,Top Load,1350,Semi Automatic,7,11490,14190,19,4.4,40617,2653
GODREJ ,5,Top Load,720,Automatic,10,13290,17900,25,4.2,6150,450
IFB ,7,Top Load,720,Automatic,10,17990,24190,25,4.3,21400,1729
GODREJ ,7,Top Load,720,Automatic,10,13990,27000,48,4.2,6150,450
ONIDA ,6,Top Load,750,Automatic,5,11490,19990,42,4.2,41160,4628
HAIER ,8,Top Load,800,Automatic,2,17490,35000,50,4.3,32559,2811
VOLTAS ,5,Top Load,1350,Semi Automatic,1,10790,19990,46,4.3,14645,1044
FOXSKY ,8,Top Load,1450,Semi Automatic,7,7790,19990,61,4.1,518,33
SAMSUNG ,7,Top Load,1350,Semi Automatic,7,10990,14150,22,4.4,39769,2761
IFB ,9,Top Load,1400,Automatic,10,37990,49090,22,4.3,86882,8633
VOLTAS ,7,Top Load,1350,Semi Automatic,1,8990,14490,37,4.3,14645,1044
FOXSKY ,5,Top Load,1300,Semi Automatic,2,7690,18490,58,4.1,518,33
ONIDA ,5,Top Load,780,Automatic,7,5800,30250,27,4.2,28931,3128
VOLTAS ,6,Top Load,1350,Semi Automatic,1,7690,12000,35,4.3,14645,1044
MARQ ,7,Top Load,1350,Semi Automatic,2,7490,13990,46,4.3,54357,5535
WHIRLPOOL ,6,Top Load,740,Automatic,7,13990,17600,20,4.2,22559,1576
HAIER ,7,Top Load,800,Automatic,10,14190,26000,45,4.3,32559,2811
SAMSUNG ,7,Front Load,1200,Automatic,20,29990,40000,25,4.3,15043,1159
WHIRLPOOL ,9,Top Load,1400,Automatic,7,13990,18900,25,4.4,27131,1912
PANASONIC ,5,Top Load,700,Automatic,2,14490,23500,38,4.3,12454,1291
WHIRLPOOL ,5,Top Load,740,Automatic,7,17590,23250,24,4.1,29661,2021
IFB ,8,Top Load,1200,Automatic,10,32990,43790,24,4.3,86882,8633
MARQ ,6,Top Load,1350,Semi Automatic,2,6790,11990,43,4.2,24002,2214
LG ,8,Top Load,740,Automatic,10,19990,28990,31,4.4,70666,5202
MOTOROLA ,5,Top Load,1350,Semi Automatic,5,8190,13990,41,4.3,8190,705
BOSCH ,8,Front Load,1400,Automatic,10,35490,52990,33,4.2,2512,187
SAMSUNG ,7,Top Load,1300,Semi Automatic,7,11490,15800,27,4.4,39769,2761
IFB ,8,Top Load,1200,Automatic,10,33990,45990,26,4.3,86882,8633
THOMSON ,7,Top Load,1400,Semi Automatic,5,7590,10499,27,4.1,19634,1740
LG ,8,Top Load,1300,Automatic,5,13990,19990,30,4.5,5669,379
MOTOROLA ,7,Top Load,1350,Semi Automatic,5,8190,13490,39,4.3,8190,705
VOLTAS ,5,Top Load,700,Automatic,5,5490,7490,26,4.1,2230,163
WHIRLPOOL ,5,Top Load,740,Automatic,7,16290,21150,22,4.1,29661,2021
THOMSON ,8,Top Load,840,Automatic,5,12499,18499,32,4.2,5220,984
REALME ,7,Top Load,700,Automatic,5,11690,21990,46,4.2,13053,1470
LLOYD ,5,Top Load,1300,Automatic,5,9490,17590,46,4.3,2369,178
MOTOROLA ,7,Top Load,700,Automatic,7,11490,21990,47,4.2,1771,219
LG ,5,Top Load,1300,Semi Automatic,5,14490,19990,27,4.5,9007,642
THOMSON ,10,Top Load,900,Automatic,5,14999,20499,26,4.2,5220,984
MOTOROLA ,10,Top Load,1350,Semi Automatic,5,10690,20990,49,4.3,8190,705
SAMSUNG ,5,Top Load,1350,Semi Automatic,7,9690,12500,22,4.4,39769,2761
WHIRLPOOL ,7,Top Load,1400,Semi Automatic,5,9990,13250,24,4.4,27131,1912
LG ,7,Top Load,1200,Automatic,10,28990,43990,34,4.4,22237,1824
MARQ ,5,Top Load,1350,Semi Automatic,2,8190,14990,45,4.3,54357,5535
SAMSUNG ,8,Front Load,1400,Automatic,20,34990,55900,37,4.3,15043,1159
LLOYD ,8,Top Load,1300,Semi Automatic,2,10990,17890,38,4.3,1159,85
REALME ,5,Top Load,700,Automatic,7,12690,19990,36,4.1,26803,2587
ONIDA ,7,Top Load,780,Automatic,7,5850,30250,27,4.2,28931,3128
MOTOROLA ,8,Top Load,1400,Automatic,10,21990,39990,45,4.1,2107,245
SAMSUNG ,8,Top Load,1300,Semi Automatic,7,12990,15990,18,4.4,39769,2761
IFB ,6,Front Load,1000,Automatic,10,22990,31690,27,4.0,1948,143
REALME ,10,Front Load,1400,Automatic,10,24990,58990,57,4.1,1248,155
WHIRLPOOL ,7,Top Load,740,Automatic,7,14990,19350,22,4.1,29661,2021
THOMSON ,11,Top Load,900,Automatic,5,15999,21499,25,4.2,5220,984
THOMSON ,11,Top Load,1400,Semi Automatic,2,10999,16499,33,4.1,19634,1740
WHIRLPOOL ,11,Top Load,1400,Semi Automatic,4,16990,21950,22,4.4,27131,1912
WHIRLPOOL ,8,Top Load,740,Automatic,7,18990,23700,19,4.1,29661,2021
HAIER ,7,Top Load,1300,Automatic,5,8990,15500,42,4.3,2540,144
IFB ,7,Top Load,1200,Automatic,10,28990,36590,20,4.3,86882,8633
MARQ ,5,Top Load,700,Automatic,5,10990,18990,42,4.2,1788,240
HAIER ,9,Top Load,1300,Automatic,3,11990,19000,36,4.3,2540,144
SAMSUNG ,5,Top Load,1300,Semi Automatic,7,13990,17490,20,4.4,39769,2761
SAMSUNG ,8,Top Load,700,Automatic,20,25190,30500,17,4.3,79817,5810
VOLTAS ,10,Top Load,700,Automatic,7,19990,45990,56,4.2,893,64
THOMSON ,5,Top Load,1400,Semi Automatic,5,8999,12499,28,4.1,19634,1740
IFB ,7,Front Load,1000,Automatic,10,27990,36990,24,4.3,86882,8633
SAMSUNG ,8,Top Load,700,Automatic,20,20990,28000,25,4.3,20132,1335
IFB ,8,Top Load,1400,Automatic,10,35990,47090,23,4.3,86882,8633
THOMSON ,10,Top Load,1400,Semi Automatic,2,9999,14999,33,4.1,19634,1740
THOMSON ,5,Top Load,1400,Automatic,5,9999,13499,25,4.1,19634,1740
VOLTAS ,10,Top Load,1350,Semi Automatic,5,13690,20590,33,4.3,14645,1044
MOTOROLA ,5,Front Load,1400,Automatic,7,24490,57999,57,4.1,8281,1055
SAMSUNG ,5,Top Load,1300,Semi Automatic,7,14990,20400,26,4.4,39769,2761
VOLTAS ,5,Top Load,1350,Semi Automatic,1,9590,17990,46,4.3,14645,1044
LG ,7,Front Load,1200,Automatic,10,29990,44490,32,4.4,4447,338
SAMSUNG ,8,Front Load,1400,Automatic,20,30990,48300,35,4.3,15043,1159
THOMSON ,9,Top Load,900,Automatic,5,13999,18999,26,4.2,5220,984
VOLTAS ,14,Top Load,1350,Semi Automatic,5,16490,24590,32,4.3,14645,1044
WHIRLPOOL ,9,Top Load,740,Automatic,7,22990,29200,21,4.1,29661,2021
LG ,9,Front Load,1200,Automatic,10,35990,52990,32,4.4,4447,338
LG ,10,Top Load,780,Automatic,10,32990,42990,23,4.4,205,14
THOMSON ,9,Top Load,1400,Semi Automatic,2,9499,12999,26,4.1,19634,1740
GODREJ ,6,Front Load,1000,Automatic,10,22990,38000,39,4.1,528,62
THOMSON ,8,Top Load,1400,Semi Automatic,5,8499,11499,26,4.1,19634,1740
ONIDA ,9,Top Load,780,Automatic,7,6490,7050,7,4.2,28931,3128
WHIRLPOOL ,7,Top Load,740,Automatic,7,14990,18950,20,4.2,22559,1576
VOLTAS ,12,Top Load,1350,Automatic,7,14990,20990,28,4.3,14645,1044
WHIRLPOOL ,10,Top Load,1400,Semi Automatic,10,15990,20950,23,4.4,27131,1912
GODREJ ,5,Top Load,670,Automatic,10,15490,28000,44,4.2,6150,450
HAIER ,7,Top Load,1400,Automatic,5,59990,84990,29,4.3,1249,154
WHIRLPOOL ,11,Top Load,1400,Semi Automatic,10,16140,21900,26,4.4,1197,92
IFB ,10,Top Load,1400,Automatic,10,47990,62990,23,4.3,86882,8633
LG ,6,Top Load,1300,Semi Automatic,7,9990,14490,31,4.4,40617,2653
WHIRLPOOL ,6,Top Load,740,Automatic,7,15775,17857,11,4.3,14851,1091
SAMSUNG ,7,Top Load,700,Automatic,20,19190,24000,20,4.3,8992,810
LG ,5,Top Load,1000,Automatic,7,24990,33990,26,4.4,5473,441
LG ,7,Top Load,700,Automatic,10,17490,20990,16,4.4,70666,5202
LG ,7,Top Load,1200,Automatic,10,34990,54490,35,4.4,4447,338
GODREJ ,7,Top Load,720,Automatic,10,13790,19890,30,4.1,3201,245
THOMSON ,10,Top Load,1400,Automatic,5,10999,14999,26,4.1,19634,1740
BOSCH ,7,Front Load,1200,Automatic,10,29990,49990,40,4.2,2512,187
HAIER ,9,Top Load,1400,Automatic,20,35990,49990,28,4.3,1249,154
HAIER ,7,Top Load,1300,Automatic,5,11290,18900,40,4.3,2540,144
SAMSUNG ,9,Front Load,1400,Automatic,20,34990,54900,36,4.3,15043,1159
HAIER ,8,Top Load,1200,Automatic,12,32990,46990,29,4.3,1249,154
TCL ,5,Top Load,1400,Automatic,7,14990,35990,58,4.0,158,19
TCL ,5,Top Load,1200,Automatic,7,13990,32990,57,4.0,158,19
WHIRLPOOL ,9,Top Load,1400,Semi Automatic,10,14190,24500,42,4.0,189,16
PANASONIC ,7,Front Load,1400,Automatic,2,28990,36800,21,4.4,58,9
HAIER ,9,Top Load,1300,Automatic,7,14990,21500,30,4.3,2540,144
TCL ,5,Front Load,1400,Automatic,7,22990,45990,50,3.8,62,13
HAIER ,11,Top Load,1300,Automatic,3,16490,24500,32,4.3,2540,144
HAIER ,10,Top Load,1300,Automatic,3,15990,23500,31,4.3,2540,144
LG ,10,Top Load,1300,Semi Automatic,5,17490,21990,20,4.5,5669,379
SAMSUNG ,9,Top Load,1400,Automatic,20,39990,57990,31,4.3,15043,1159
LLOYD ,7,Top Load,1400,Semi Automatic,5,8999,14990,39,4.3,1159,85
SAMSUNG ,9,Top Load,1400,Automatic,20,37990,50990,25,4.3,15043,1159
GODREJ ,10,Top Load,1400,Semi Automatic,5,13990,19990,30,4.5,19,2
WHIRLPOOL ,5,Top Load,740,Automatic,10,23130,34200,32,4.1,2134,208
VOLTAS ,7,Front Load,1200,Automatic,12,23990,43990,45,4.0,773,58
BOSCH ,8,Top Load,680,Automatic,2,27500,39490,30,4.2,82,4
SAMSUNG ,8,Front Load,1400,Automatic,20,39900,55900,28,4.4,44,6
GODREJ ,8,Top Load,1400,Semi Automatic,7,14690,21460,31,4.2,484,44
WHIRLPOOL ,7,Top Load,1400,Semi Automatic,5,10390,13350,22,4.3,9145,615
WHIRLPOOL ,6,Top Load,1400,Semi Automatic,5,9190,12700,27,4.4,4393,308
IFB ,5,Top Load,1000,Automatic,10,26990,35990,25,4.4,7,1
LG ,9,Top Load,700,Automatic,2,24990,36990,32,4.3,956,76
PANASONIC ,6,Top Load,680,Automatic,7,13990,16700,16,4.3,12454,1291
LG ,9,Front Load,1200,Automatic,10,49990,68990,27,4.4,4447,338
BOSCH ,7,Front Load,1000,Automatic,7,27990,37899,26,4.3,3084,213
BOSCH ,5,Top Load,1360,Semi Automatic,7,10990,16500,33,4.1,88,12
BOSCH ,8,Top Load,1360,Semi Automatic,7,11990,18000,33,4.3,123,5
GODREJ ,8,Top Load,1440,Semi Automatic,5,13504,21645,37,4.2,484,44
MARQ ,9,Top Load,1350,Semi Automatic,2,9790,17990,45,4.3,54357,5535
GODREJ ,8,Front Load,1200,Automatic,10,29990,51000,41,4.1,528,62
LG ,6,Top Load,1300,Semi Automatic,7,12790,13900,7,4.0,3,1
WHIRLPOOL ,8,Top Load,1400,Automatic,2,30990,39700,21,4.1,989,86
BOSCH ,10,Front Load,1200,Automatic,3,45490,61590,26,4.2,2512,187
MARQ ,10,Top Load,1350,Semi Automatic,5,9990,17990,44,4.3,54357,5535
INTEX ,5,Top Load,1300,Automatic,5,7290,13499,45,4.3,16986,2408
THOMSON ,7,Top Load,1400,Semi Automatic,5,8499,11499,26,4.1,19634,1740
ONIDA ,8,Top Load,1450,Semi Automatic,5,10290,13670,24,4.2,10346,930
LLOYD ,5,Top Load,1400,Semi Automatic,5,7990,13490,40,4.3,1159,85
BOSCH ,6,Front Load,800,Automatic,7,26490,30890,14,4.4,10137,1114
LG ,7,Front Load,1200,Automatic,10,35490,44490,20,4.3,93,10
GODREJ ,7,Top Load,1400,Semi Automatic,5,9490,13900,31,4.3,3778,249
LG ,10,Top Load,1200,Semi Automatic,5,15899,21999,27,4.4,78,7
LG ,5,Top Load,1300,Semi Automatic,7,11999,17142,30,4.4,555,31
MIDEA ,7,Top Load,680,Automatic,2,12990,19990,35,4.1,1634,202
SAMSUNG ,10,Top Load,700,Automatic,3,26900,32500,17,4.4,61917,4601
PANASONIC ,5,Top Load,1350,Semi Automatic,2,8990,13000,30,4.3,5607,495
WHIRLPOOL ,5,Top Load,740,Automatic,7,16850,25200,33,4.1,2453,184
LG ,11,Top Load,1400,Automatic,2,48490,65990,26,4.4,4447,338
SAMSUNG ,7,Top Load,1000,Automatic,20,29990,47990,37,4.3,539,47
ONIDA ,5,Top Load,750,Automatic,5,14290,23090,38,4.2,41160,4628
IFB ,10,Top Load,720,Automatic,10,32390,41990,22,4.3,21400,1729
WHIRLPOOL ,5,Top Load,740,Automatic,10,15950,21999,27,4.3,14542,1415
WHIRLPOOL ,7,Top Load,740,Automatic,10,18490,20200,8,4.3,14542,1415
LG ,8,Front Load,1200,Automatic,10,35900,50990,29,4.4,4447,338
VOLTAS ,8,Front Load,1200,Automatic,12,26800,53990,50,4.0,773,58
BOSCH ,8,Top Load,680,Automatic,2,23500,31990,26,4.2,82,4
PANASONIC ,7,Top Load,1380,Automatic,7,17190,25000,31,4.3,12454,1291
IFB ,9,Front Load,1400,Automatic,7,39990,46990,14,4.4,672,86
WHIRLPOOL ,7,Top Load,1400,Semi Automatic,7,9990,14066,28,4.1,45,1
BOSCH ,7,Front Load,1000,Automatic,10,30490,49990,39,4.3,730,43
HAIER ,7,Top Load,800,Automatic,10,17490,31000,43,4.3,73,9
IFB ,5,Top Load,720,Automatic,7,16890,20490,17,4.3,21400,1729
FOXSKY ,11,Top Load,1500,Semi Automatic,7,9200,30250,27,4.1,518,33
GODREJ ,7,Front Load,1000,Automatic,10,25390,46500,45,4.1,528,62
THOMSON ,5,Top Load,720,Automatic,2,14499,21999,34,4.0,491,67
IFB ,7,Top Load,0,Automatic,7,21690,23990,9,4.1,535,67
FOXSKY ,5,Top Load,1490,Semi Automatic,2,8740,19990,56,4.1,518,33
SAMSUNG ,6,Top Load,1300,Semi Automatic,7,9090,9900,8,4.4,39769,2761
BOSCH ,5,Top Load,680,Automatic,2,21623,30250,27,4.3,1297,122
THOMSON ,5,Top Load,840,Automatic,5,12990,18999,31,4.2,5220,984
SAMSUNG ,5,Top Load,1300,Semi Automatic,7,13000,16400,20,4.4,194,16
SANSUI ,5,Top Load,1350,Semi Automatic,7,10150,15990,36,4.2,15646,1380
TCL ,7,Top Load,1400,Semi Automatic,2,7990,15490,48,4.1,114,5
WHIRLPOOL ,8,Top Load,1400,Semi Automatic,5,11999,16999,29,4.4,5582,644
IFB ,5,Top Load,720,Automatic,10,21793,29190,25,4.3,4,0
BOSCH ,8,Top Load,680,Automatic,2,25500,35490,28,3.9,11,1
VOLTAS ,5,Front Load,1200,Automatic,5,21900,38990,43,4.0,773,58
LG ,5,Top Load,1300,Semi Automatic,7,13237,17061,22,3.9,135,6
WHIRLPOOL ,7,Top Load,740,Automatic,7,16249,20450,20,4.1,179,13
IFB ,5,Front Load,1000,Automatic,10,26490,31290,15,4.3,86882,8633
TCL ,5,Front Load,1200,Automatic,10,19990,33990,41,3.8,62,13
SAMSUNG ,5,Top Load,1200,Semi Automatic,2,14800,18900,21,4.4,165,8
WHIRLPOOL ,5,Top Load,1450,Semi Automatic,5,13933,16250,14,4.3,2851,264
GODREJ ,8,Top Load,1400,Semi Automatic,5,13400,16554,19,4.4,608,57
